Algorithm,Random Forest
Trees,300
Maximum Depth,20
Attack Traces,10000
,
Top Feature,Importance
Trace Point 149,0.0027704706987932114
Trace Point 517,0.0027166317729448923
Trace Point 150,0.002701840821429149
Trace Point 97,0.0026070318341715882
Trace Point 516,0.0026017305530436504
Trace Point 148,0.0025542755458617572
Trace Point 98,0.002536979831832202
Trace Point 514,0.0025156613464386215
Trace Point 515,0.002513116481043653
Trace Point 201,0.0024770017106468603
